Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
2,5,51,1,1997,12,9,1
1,5,51,1,1997,12,11,1
1,5,17,1,1998,1,21,1
5,5,4,1,1998,1,21,1
1,5,18,1,1998,1,29,1
1,3,37,1,1998,1,30,1
1,5,48,2,1998,2,3,1
1,5,48,1,1998,2,9,1
2,5,51,1,1998,2,10,1
1,5,40,1,1998,2,20,1
1,5,30,1,1998,2,24,1
2,5,29,1,1998,2,25,1
1,5,45,1,1998,3,6,1
1,5,48,1,1998,3,11,1
1,5,51,1,1998,3,18,1
1,2,12,1,1998,3,23,1
2,2,12,1,1998,3,24,1
2,5,29,1,1998,3,25,1
2,5,51,1,1998,3,25,1
1,2,12,2,1998,3,30,1
3,2,12,1,1998,3,31,1
5,5,51,1,1998,4,14,1
1,5,29,1,1998,4,22,1
5,5,4,1,1998,4,22,1
1,5,48,1,1998,4,22,1
1,5,48,1,1998,4,24,1
1,5,4,1,1998,4,29,1
1,5,48,1,1998,4,29,1
1,2,1,1,1998,5,8,1
2,5,48,1,1998,5,18,1
5,5,48,1,1998,5,19,1
1,5,4,1,1998,6,3,1
1,2,13,1,1998,6,9,1
1,5,48,1,1998,6,11,1
1,5,48,1,1998,6,15,1
1,5,51,1,1998,6,18,1
5,5,48,1,1998,6,26,1
1,5,5,1,1998,7,8,1
1,5,45,1,1998,7,10,1
1,5,6,1,1998,7,14,1
1,5,51,1,1998,7,23,1
1,5,40,1,1998,8,5,1
1,5,37,1,1998,8,14,1
2,5,51,1,1998,8,20,1
5,5,48,1,1998,8,26,1
2,5,51,1,1998,8,31,1
1,5,48,1,1998,9,9,1
5,5,48,1,1998,9,23,1
1,2,51,1,1998,9,23,1
1,5,45,1,1998,9,25,1
5,5,48,1,1998,10,1,1
5,5,32,1,1998,10,5,1
1,5,48,1,1998,10,7,1
1,5,53,1,1998,10,13,1
2,5,51,1,1998,10,14,1
2,5,51,1,1998,10,21,1
2,5,24,1,1998,11,16,1
1,5,48,1,1998,11,17,1
2,5,51,1,1998,11,17,1
1,5,37,1,1998,11,20,1
2,5,51,1,1998,12,3,1
2,5,45,1,1998,12,4,1
2,5,45,1,1998,12,4,1
1,5,48,1,1998,12,7,1
1,5,48,1,1998,12,8,1
4,5,40,1,1998,12,10,1
2,5,45,1,1998,12,11,1
2,5,48,1,1998,12,15,1
1,5,40,1,1998,12,17,1
